waste_type,waste_disposed_of_tonne,total_waste_recycled_tonne,total_waste_generated_tonne,recycling_rate,year,region
Food,679900,111100,791000,0.14,2016,India
Paper/Cardboard,576000,607100,1183100,0.51,2016,India
Plastics,762700,59500,822200,0.07,2016,India
C&D,9700,1585700,1595400,0.99,2016,India
Horticultural waste,111500,209000,320500,0.65,2016,India
Wood,119100,411600,530700,0.78,2016,India
Ferrous metal,6000,1351500,1357500,0.99,2016,India
Non-ferrous metal,1300,95900,97200,0.99,2016,India
Used slag,4100,247000,251100,0.98,2016,china
Ash & Sludge,199000,28300,227300,0.13,2016,china
Glass,57600,14700,72300,0.2,2016,china
Textile/Leather,139800,10900,150700,0.07,2016,china
Scrap tyres,3000,29700,32700,0.91,2016,china
"Others (stones, ceramics & rubber etc.)",375500,7000,382500,0.02,2016,china
Total,3045200,4769000,7814200,0.61,2016,china
Food,681400,104100,785500,0.13,2015,china
Paper/Cardboard,588500,603700,1192200,0.51,2015,china
Plastics,766800,57800,824600,0.07,2015,africa
C&D,8900,1402900,1411800,0.99,2015,africa
Horticultural waste,124800,237200,362000,0.66,2015,africa
Wood,76900,293700,370600,0.79,2015,africa
Ferrous metal,15200,1333300,1348500,0.99,2015,africa
Non-ferrous metal,19600,160400,180000,0.89,2015,africa
Used slag,4100,365800,369900,0.99,2015,africa
Ash & Sludge,170800,25200,196000,0.13,2015,africa
Glass,60600,14600,75200,0.19,2015,africa
Textile/Leather,144200,12500,156700,0.08,2015,usa
Scrap tyres,2700,32800,35500,0.92,2015,usa
"Others (stones, ceramics & rubber etc)",359300,5700,365000,0.02,2015,usa
Total,3023800,4649700,7673500,0.61,2015,usa
Food,687200,101400,788600,0.13,2014,usa
Paper/Cardboard,590800,646500,1237400,0.52,2014,usa
Plastics,789000,80000,869000,0.09,2014,usa
C&D,9700,1260000,1269700,0.99,2014,usa
Horticultural waste,115300,163000,278300,0.59,2014,usa
Wood,74500,293400,367900,0.8,2014,japan
Ferrous metal,57000,1388900,1445900,0.96,2014,japan
Non-ferrous metal,23700,94700,118400,0.8,2014,japan
Used slag,5100,361200,366300,0.99,2014,japan
Ash & Sludge,126800,21700,148500,0.15,2014,japan
Glass,63800,15700,79500,0.2,2014,japan
Textile/Leather,141800,16800,158600,0.11,2014,japan
Scrap tyres,3100,23100,26200,0.88,2014,japan
"Others (stones, ceramics & rubber etc)",355600,4700,360100,0.01,2014,japan
Total,3043400,4471100,7514500,0.6,2014,japan
Food waste,696000,100000,796000,0.13,2013,india
Paper/Cardboard,581700,679400,1261100,0.54,2013,japan
Plastics,741100,91100,832200,0.11,2013,china
Construction Debris,12300,1683000,1695300,0.99,2013,usa
Wood/Timber,77800,254600,332400,0.77,2013,usa
Horticultural Waste,131700,120900,252600,0.48,2013,usa
Ferrous Metal,46800,1369200,1416000,0.97,2013,usa
Non-ferrous Metals,21100,114000,135100,0.84,2013,usa
Used Slag,8900,344800,353700,0.97,2013,usa
Sludge,176400,14200,190600,0.07,2013,usa
Glass,58900,14600,73500,0.2,2013,usa
Textile/Leather,140300,16300,156600,0.1,2013,usa
Scrap Tyres,2600,19000,21600,0.88,2013,india
"Others (stones, ceramics & rubber etc)",330000,4800,334800,0.01,2013,india
Total,3025600,4825900,7851500,0.61,2013,india
Food waste,618100,85100,703200,0.12,2012,india
Paper/Cardboard,555300,696700,1252000,0.56,2012,india
Plastics,721300,82100,803400,0.1,2012,india
Construction Debris,9100,1282700,1291800,0.99,2012,india
Wood/Timber,107800,236000,343800,0.69,2012,india
Horticultural Waste,139800,108000,247800,0.44,2012,india
Ferrous Metal,54800,1331200,1386000,0.96,2012,india
Non-ferrous Metals,25200,97300,122500,0.79,2012,india
Used Slag,9800,358000,367800,0.97,2012,japan
Sludge,160200,0,160200,0,2012,japan
Glass,55400,19500,74900,0.26,2012,japan
Textile/Leather,141000,18300,159300,0.11,2012,japan
Scrap Tyres,2300,16100,18400,0.88,2012,japan
"Others (stones, ceramics & rubber etc)",333800,4600,338400,0.01,2012,japan
Total,2933900,4335600,7269500,0.6,2012,japan
Food waste,605800,69700,675500,0.1,2011,japan
Paper/Cardboard,603200,765000,1368200,0.56,2011,japan
Plastics,656000,77000,733000,0.11,2011,japan
Construction Debris,12600,1191100,1203700,0.99,2011,japan
Wood/Timber,97400,176500,273900,0.64,2011,japan
Horticultural Waste,149800,89000,238800,0.37,2011,japan
Ferrous Metal,67600,1171600,1239200,0.95,2011,japan
Non-ferrous Metals,14500,102800,117300,0.88,2011,africa
Used Slag,5700,335900,341600,0.98,2011,africa
Sludge,152900,0,152900,0,2011,africa
Glass,51400,21400,72800,0.29,2011,africa
Textile/Leather,113700,17300,131000,0.13,2011,africa
Scrap Tyres,3700,18300,22000,0.83,2011,africa
"Others (stones, ceramics & rubber etc)",325200,3200,328400,0.01,2011,africa
Total,2859500,4038800,6898300,0.59,2011,africa
Food waste,538100,102400,640500,0.16,2010,africa
Paper/Cardboard,645700,738200,1383900,0.53,2010,africa
Plastics,662300,78100,740400,0.11,2010,ireland
Construction Debris,9400,912400,921800,0.99,2010,ireland
Wood/Timber,80000,190000,270000,0.7,2010,ireland
Horticultural Waste,151800,99200,251000,0.4,2010,ireland
Ferrous Metal,67100,1127500,1194600,0.94,2010,ireland
Non-ferrous Metals,12400,73100,85500,0.85,2010,ireland
Used Slag,3800,378900,382700,0.99,2010,ireland
Sludge,114400,0,114400,0,2010,ireland
Glass,60700,19200,79900,0.24,2010,ireland
Textile/Leather,106200,14700,120900,0.12,2010,ireland
Scrap Tyres,4000,20000,24000,0.83,2010,ireland
"Others (stones, ceramics & rubber etc)",303600,3800,307400,0.01,2010,ireland
Total,2759500,3757500,6517000,0.58,2010,ireland
Food waste,529400,76700,606100,0.13,2009,ireland
Paper/Cardboard,626800,574200,1201000,0.48,2009,india
Plastics,628600,60300,688900,0.09,2009,india
Construction Debris,25100,1150700,1175800,0.98,2009,india
Wood/Timber,80200,207400,287600,0.72,2009,india
Horticultural Waste,144600,93500,238100,0.39,2009,india
Ferrous Metal,65800,806200,872000,0.92,2009,india
Non-ferrous Metals,10100,47500,57600,0.82,2009,india
Used Slag,3800,418600,422400,0.99,2009,india
Sludge,88900,0,88900,0,2009,india
Glass,57500,15600,73100,0.21,2009,india
Textile/Leather,96500,12600,109100,0.12,2009,india
Scrap Tyres,3900,18700,22600,0.83,2009,india
"Others (stones, ceramics & rubber etc)",267700,3200,270900,0.01,2009,india
Total,2628900,3485200,6114100,0.57,2009,india
Food waste,500000,68000,568000,0.12,2008,china
Paper/Cardboard,653900,608600,1262500,0.48,2008,china
Plastics,623200,61200,684400,0.09,2008,china
